request_url,final_url,label,pred_label,final_prob,url_prob,fusion_prob,decision
https://q-r.to/bfXxns,https://q-r.to/bfXxns,1,1,0.9979779869318008,0.9996134638786316,0.9959790706634521,both-strong
https://tinyurl.com/2jsm6xb5,https://tinyurl.com/app/nospam/tinyurl.com/2jsm6xb5,1,1,0.9955218970775603,0.9968184232711792,0.9939372539520264,both-strong
http://dfgytrew22.wixsite.com/webskyy,https://dfgytrew22.wixsite.com/webskyy,1,1,0.9998917013406753,0.9999971389770508,0.9997628331184387,both-strong
https://sites.google.com/view/kifdgfgdjhkjldlkj/home?authuser=6,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fsites.google.com%2Fview%2Fkifdgfgdjhkjldlkj%2Fhome%3Fauthuser%3D6&dsh=S406305489%3A1759140403159739&followup=https%3A%2F%2Fsites.google.com%2Fview%2Fkifdgfgdjhkjldlkj%2Fhome%3Fauthuser%3D6&ifkv=AfYwgwWZNm9RJddPWuMHMArHjpF-eGUkIGI1ImWeJYK17wYF1PX6__vYilZ47a6We88GI8g8gMGfkg&osid=1&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin,1,1,0.8058253228664398,0.9999592304229736,0.611691415309906,both-strong
http://dev-okjfhg.pantheonsite.io/,http://dev-okjfhg.pantheonsite.io/,1,1,0.9698338270187377,0.999985933303833,0.9329812526702881,both-strong
https://tinyurl.com/275p6ch4,https://tinyurl.com/app/nospam/tinyurl.com/275p6ch4,1,1,0.9939697355031967,0.9947794675827026,0.9929800629615784,both-strong
https://did.li/4MLKDJDwebappsClienT?pZVS2KirQcqg2XvGoIxY0EAYbWt,https://did.li/secure/,1,1,0.9999945163726807,0.9999945163726807,0.0001532388268969953,url-strong
http://dana-page-aktivasi-saldo.github.io/,https://dana-page-aktivasi-saldo.github.io/,1,1,0.999407023191452,0.9988415837287903,0.9999724626541138,both-strong
https://q-r.to/dgtespana,https://q-r.to/dgtespana,1,1,0.9867536008358001,0.9983811378479004,0.9725421667098999,both-strong
http://bafybeicedalcolwlvq7fjhtcvzj3vivz4pdfd7b3cgr4gm55mafkj7geua.ipfs.dweb.link/,https://bafybeicedalcolwlvq7fjhtcvzj3vivz4pdfd7b3cgr4gm55mafkj7geua.ipfs.dweb.link/,1,1,0.9999942779541016,0.9999889135360718,0.9999996423721313,both-strong
http://talha6368.github.io/netflix-clone,https://talha6368.github.io/netflix-clone/,1,1,0.9989955127239227,1.0,0.9977678060531616,both-strong
https://pub-f6856f3d88234137bd155e2b201a746e.r2.dev/index.html,https://pub-f6856f3d88234137bd155e2b201a746e.r2.dev/index.html,1,1,0.9999991655349731,0.9999983310699463,1.0,both-strong
